MarketPlace,Name,OnionLink,Status,Comment,Comment2,Categories
Tor2door,Tor2door,http://jtli3cvjuwk25vys2nveznl3spsuh5kqu2jcvgyy2easppfx5g54jmid.onion/,Working,,,drugs: jewels: services: digital products: fraud: counterfeit
ASAP,ASAP,https://asap2u4pvplnkzl7ecle45wajojnftja45wvovl3jrvhangeyq67ziid.online/,Working,DDoS,,drugs: jewels: services: digital products: fraud: counterfeit
Abacus,Abacus,https://abacusc6b742s3bxavsp36x7ux2pagyqbjovmp26xrifcaabfwdnuad.online/,Working,DDoS,,drugs: jewels: services: digital products: fraud: counterfeit
ViceCity,Vice City Market,http://oxsfyfyf3rmxwzvsozhze4awcwtbomwd2butx7fvdkl2nfks4tmmo4qd.onion/,Working,DDoS,,drugs
Archetyp,Archetyp,http://rms26hxkohmxt5h3c2nruflvmerecwzzwbm7chn7d3wydscxnrin5oad.onion,Working,DDoS,,drugs
Bohemia,Bohemia,https://bohemiaobkoo4cecexkj5xmlaove6yn726dstp5wfw4pojjwp6762paqd.online/,Working,DDoS Defender,,drugs
Incognito,Incognito Msarket,http://zguhsmugwcb7iivknafp7ph3twup57olx5zulhbjacgtetihrvg7maad.onion/,Slow,Anondefender,,drugs
GammaGoblin,GammaGoblin,http://gammaemg7i7k7wenjownsjsenogaqdd6gb5zu2553xve44vxxfj6fiad.onion/,Down,,,
Flugsvamp 4.0,Flugsvamp 4.1,http://fez6mtsbmw66xtzi64u5dmyoiowdcls6o5pq6q66vj7fqxr5rtb72tqd.onion/,Down,,,
Nemesis,Nemesis Market,http://x7r427rknx5kw2oztfxiusfkidotsgitvrwnz33kjkmtxzdybcd2ntad.onion,Working,Market/Forum,,drugs: fraud: hacking: counterfeit
Cypher,Cypher Marketplace,http://6c5qaeiibh6ggmobsrv6vuilgb5uzjejpt2n3inoz2kv2sgzocymdvyd.onion/,Working,,,drugs: jewels: services: digital products: fraud: counterfeit
Revolution,Revolution,http://jagayshovxfjqpk4vs6cdjv5qbuyftrr57e5l4kwazmbyemjcasrwaqd.onion/,Down,,,drugs: counterfeit: leaks: fraud
Royal,Royal Market,http://royalrnpvfbodtt5altnnzano6hquvn2d5qy55oofc2zyqciogcevrad.onion,Working,Scam,,drugs: counterfeit: leaks: fraud
Ares,Ares,http://sn2sfdqay6cxztroslaxa36covrhoowe6a5xug6wlm6ek7nmeiujgvad.onion,Working,Complete,Mirrors,drugs: fraud: digital: counterfeit
WeTheNorth,WeTheNorth,http://hn2paw7zaahbikbejiv6h22zwtijlam65y2c77xj2ypbilm2xs4bnbid.onion,Working,Captcha,,drugs: jewels: services: digital products: fraud: counterfeit
Kerberos,Kerberos Marketplace,http://kerberosfwjuirbckcfspamq3wv3nfk6blusvabbtnsatiezm2uyfzid.onion/invited/121462b2,Working,DDoS,Mirrors,drugs: jewels: services: digital products: fraud: counterfeit
Kerberos,Kerberos Marketplace,http://kerberosgzhuw5oagmbzjecz5m3c2bmpg3mns6ty7ofwwk67kviswkad.onion/invited/121462b2,Working,DDoS,Mirrors,drugs: jewels: services: digital products: fraud: counterfeit
Kerberos,Kerberos Marketplace,http://kerberoshz5i6au475yf63msi2llgxxf4obr4hvjq7hdmphec4t2j7ad.onion/invited/121462b2,Working,DDoS,Mirrors,drugs: jewels: services: digital products: fraud: counterfeit
Kerberos,Kerberos Marketplace,http://kerberosemtkeqh7pznmv3negqhudxk5po3awdazx5fqgizttr6xeiid.onion/invited/121462b2,Working,DDoS,Mirrors,drugs: jewels: services: digital products: fraud: counterfeit
Cocorico,,http://xv3dbyx4iv35g7z2uoz2yznroy56oe32t7eppw2l2xvuel7km2xemrad.onion/,Working,Market/Forum,,drugs
Black Pyramid,,http://qo5i6olq6hay524jx2smexobmcyzicaqlroka3eeqeksrofveb36a4qd.onion/,Down,,,drugs
Cannabia,,http://lppzdl7ew2kz3mgo6lzdookiom36t3kzz6syym7jjhslzdlg7liuioad.onion/,Down,,,drugs
TorZon,TorZon Market,http://torzon4kv5swfazrziqvel2imhxcckc4otcvopiv5lnxzpqu4v4m5iyd.onion/,Working,DDoS,Queue,drugs
M00nkey,M00nkey Market,http://moonkey4f2mkcp6hpackeea356puiry27h3dz3hzbt3adbmsk4gs7wyd.onion/captcha,Working,DDoS,Queue,drugs
Quest Market,Quest,http://royalrnpvfbodtt5altnnzano6hquvn2d5qy55oofc2zyqciogcevrad.onion/,Working,,,drugs: counterfeit: fraud
World Market,World,worldehc62cgugrgj7oc76tcna45fme47oqjrei4d4aa7xorw7fyvcyd.onion,Down,,,
Courier Market,Courier Market,http://courier2w2hawxspntosy3wolvc7g7tcrwhitiu4irrupnpqub2bqxid.onion,Working,Deaddrops,,Fake cash: jewellery: stolen cars: Â weapons: kidnapping: theft: bribing
